Symbol,Company,Sector,Industry,Price,PE,PB,ROE %,Debt/Equity,Profit Margin %,Revenue CAGR %,Net Income CAGR %,Margin Trend,Blended Fair Value,Est. Upside %,Valuation Models Used,Score,Rating,Valuation Pillar,Profitability Pillar,Stability Pillar,Growth Pillar,Upside Pillar,Strengths,PE Percentile (vs Sector),ROE Percentile (vs Sector),Score Rank (vs Sector)
FORTIS,Fortis Healthcare Limited,Healthcare,Medical Care Facilities,925.0,66.980446,7.057082,11.01,34.15,11.41,13.3,21.0,expanding,435.43,-52.9,2,45,🟡 HOLD,5,10,8,22,0,"Attractive PEG ratio, Healthy net margin (11.4%), Manageable debt level, Healthy revenue CAGR (13.3%)",73.91304347826086,69.56521739130434,9.0
JSWSTEEL,JSWSTEEL,Basic Materials,Steel,1330.0,13.11637,3.244583,0.0,95.374,13.06,3.6,75.3,expanding,1415.76,6.4,2,45,🟡 HOLD,12,6,3,18,0,"Healthy net margin (13.1%), Strong profit CAGR (75.3%), Margins expanding, Appears overvalued vs blended intrinsic estimate (~-48%)",17.647058823529413,35.714285714285715,14.0
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,12190.0,41.445667,4.9777675,0.0,29.432,9.29,11.9,17.3,expanding,5960.05,-51.1,2,45,🟡 HOLD,5,6,12,22,0,"Attractive PEG ratio, Healthy net margin (9.3%), Very low debt, Healthy revenue CAGR (11.9%)",64.70588235294117,35.714285714285715,14.0
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1520.0,76.92307,56.837303,0.0,8.621,15.62,17.0,23.1,stable,507.39,-66.6,1,45,🟡 HOLD,0,11,12,22,0,"High net margin (15.6%), Very low debt, Strong revenue CAGR (17.0%), Strong profit CAGR (23.1%)",80.0,43.333333333333336,4.0
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,Auto Parts,2501.6,34.381527,4.4143286,0.0,35.269,12.33,3.6,5.5,expanding,2977.22,19.0,1,44,🟠 WEAK,0,6,8,12,0,"Healthy net margin (12.3%), Manageable debt level, Margins expanding, Appears overvalued vs blended intrinsic estimate (~-62%)",33.33333333333333,27.419354838709676,15.0
FEDERALBNK,The Federal Bank Limited,Financial Services,Banks - Regional,356.45,19.061497,2.194281,0.0,,30.72,16.6,11.1,unknown,384.29,7.8,2,44,🟠 WEAK,9,11,0,18,6,"High net margin (30.7%), Strong revenue CAGR (16.6%), Consistent YoY growth",40.909090909090914,26.136363636363637,27.0
ITC,ITC Limited,Consumer Defensive,Tobacco,286.95,18.11553,4.958614,0.0,3.293,25.94,3.6,2.5,stable,462.62,61.2,2,44,🟠 WEAK,5,11,0,10,0,"High net margin (25.9%), High leverage, Appears overvalued vs blended intrinsic estimate (~-39%)",6.666666666666667,43.333333333333336,5.0
DABUR,Dabur India Limited,Consumer Defensive,Household & Personal Products,414.0,37.297295,6.430269,0.0,10.907,14.55,4.5,3.5,stable,405.82,-2.0,2,44,🟠 WEAK,0,6,12,12,0,"Healthy net margin (14.6%), Very low debt, Consistent YoY growth, Appears overvalued vs blended intrinsic estimate (~-60%)",20.0,43.333333333333336,5.0
MARICO,Marico Limited,Consumer Defensive,Household & Personal Products,852.0,58.637302,26.27116,0.0,12.394,13.16,11.8,10.6,stable,391.12,-54.1,2,43,🟠 WEAK,5,6,12,15,0,"Attractive PEG ratio, Healthy net margin (13.2%), Very low debt, Healthy revenue CAGR (11.8%)",60.0,43.333333333333336,7.0
DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,8388.0,87.0576,13.285311,0.0,0.042,26.05,11.0,12.1,expanding,3037.82,-63.8,1,43,🟠 WEAK,0,11,12,20,0,"High net margin (26.0%), Very low debt, Healthy revenue CAGR (11.0%), Consistent YoY growth",91.30434782608695,26.08695652173913,11.0
RADICO,Radico Khaitan Limited,Consumer Defensive,Beverages - Wineries & Distilleries,4550.0,84.321724,18.374113,0.0,20.939,8.84,24.6,40.0,expanding,1792.94,-60.6,2,43,🟠 WEAK,0,6,12,25,0,"Healthy net margin (8.8%), Very low debt, Strong revenue CAGR (24.6%), Strong profit CAGR (40.0%)",93.33333333333333,43.333333333333336,7.0
EXIDEIND,Exide Industries Limited,Consumer Cyclical,Auto Parts,467.0,43.041473,2.8547676,0.0,11.308,4.95,6.1,1.3,stable,573.21,22.7,2,43,🟠 WEAK,4,0,12,12,0,"Very low debt, Consistent YoY growth, Appears overvalued vs blended intrinsic estimate (~-53%)",48.148148148148145,27.419354838709676,16.0
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,Medical Care Facilities,1080.0,73.22034,9.779686,14.33,32.367,17.23,22.4,9.3,stable,497.5,-53.9,1,43,🟠 WEAK,0,15,8,20,0,"High net margin (17.2%), Manageable debt level, Strong revenue CAGR (22.4%), Consistent YoY growth",78.26086956521739,82.6086956521739,11.0
GLAND,Gland Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2545.1,40.885143,4.0483046,10.53,2.738,15.97,21.4,9.6,contracting,2134.95,-16.1,2,43,🟠 WEAK,0,15,8,15,0,"High net margin (16.0%), High leverage, Strong liquidity position, Strong revenue CAGR (21.4%)",47.82608695652174,65.21739130434783,11.0
GOKEX,Gokaldas Exports Limited,Consumer Cyclical,Apparel Manufacturing,805.7,61.269966,2.731483,4.72,58.934,2.51,24.5,-16.7,contracting,1121.94,39.3,1,42,🟠 WEAK,4,0,11,12,0,"Manageable debt level, Strong revenue CAGR (24.5%), Profit growth declining/negative, Consistent YoY growth",66.66666666666666,51.61290322580645,17.0
ASTRAL,Astral Limited,Industrials,Building Products & Equipment,1434.7,71.80681,9.498304,13.8,6.168,8.17,8.5,5.5,stable,606.1,-57.8,2,42,🟠 WEAK,0,10,17,15,0,"Healthy net margin (8.2%), Very low debt, Strong liquidity position, Healthy revenue CAGR (8.5%)",83.33333333333334,75.67567567567568,18.0
BLUESTARCO,Blue Star Limited,Industrials,Building Products & Equipment,1665.0,65.013664,9.975854,16.22,23.588,4.25,16.2,9.6,stable,772.54,-53.6,1,42,🟠 WEAK,0,7,15,20,0,"Strong ROE (16.2%), Very low debt, Strong revenue CAGR (16.2%), Consistent YoY growth",80.55555555555556,81.08108108108108,18.0
IDFCFIRSTB,IDFC First Bank Limited,Financial Services,Banks - Regional,85.3,32.934364,1.5656835,0.0,,32.78,19.2,-13.5,unknown,115.28,35.1,2,42,🟠 WEAK,4,11,0,12,15,"High net margin (32.8%), Strong revenue CAGR (19.2%), Profit growth declining/negative, Consistent YoY growth",63.63636363636363,26.136363636363637,28.0
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1096.3,66.48272,4.979244,0.0,12.159,7.84,13.9,8.6,stable,978.39,-10.8,2,42,🟠 WEAK,5,2,12,18,0,"Attractive PEG ratio, Very low debt, Healthy revenue CAGR (13.9%), Consistent YoY growth",73.33333333333333,43.333333333333336,9.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,8910.0,66.90194,13.513801,21.5,85.146,7.7,15.3,33.3,expanding,3018.78,-66.1,2,42,🟠 WEAK,0,11,6,25,0,"Excellent ROE (21.5%), Strong revenue CAGR (15.3%), Strong profit CAGR (33.3%), Consistent YoY growth",69.56521739130434,91.30434782608695,14.0
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1978.0,44.609833,8.080726,20.15,100.415,13.12,14.9,47.3,expanding,1234.53,-37.6,2,42,🟠 WEAK,0,17,3,22,0,"Excellent ROE (20.2%), Healthy net margin (13.1%), Healthy revenue CAGR (14.9%), Strong profit CAGR (47.3%)",85.71428571428571,85.71428571428571,5.0
POLYCAB,Polycab India Limited,Industrials,Electrical Equipment & Parts,9200.0,48.959606,11.452272,25.55,1.738,9.18,26.6,28.1,stable,4628.44,-49.7,2,42,🟠 WEAK,0,15,5,22,0,"Excellent ROE (25.5%), Healthy net margin (9.2%), High leverage, Strong liquidity position",63.888888888888886,94.5945945945946,18.0
UTIAMC,UTI Asset Management Company Limited,Financial Services,Asset Management,901.65,24.797855,2.572468,0.0,3.129,26.58,10.8,-2.6,stable,799.34,-11.3,2,42,🟠 WEAK,9,11,10,12,0,"High net margin (26.6%), Leverage ratio not directly comparable (financial sector), Healthy revenue CAGR (10.8%), Profit growth declining/negative",52.27272727272727,26.136363636363637,28.0
KALYANKJIL,Kalyan Jewellers India Limited,Consumer Cyclical,Luxury Goods,569.5,43.57307,9.311489,24.31,96.966,3.78,36.6,46.1,stable,355.06,-37.7,2,42,🟠 WEAK,0,9,6,22,0,"Excellent ROE (24.3%), Strong revenue CAGR (36.6%), Strong profit CAGR (46.1%), Consistent YoY growth",51.85185185185185,83.87096774193549,17.0
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,596.95,14.76868,11.146277,0.0,39.034,38.07,5.6,9.6,expanding,505.71,-15.3,2,42,🟠 WEAK,8,11,8,15,0,"High net margin (38.1%), Manageable debt level, Margins expanding, Appears overvalued vs blended intrinsic estimate (~-44%)",23.52941176470588,35.714285714285715,16.0
360ONE,360 One Wam Limited,Financial Services,Asset Management,1192.0,39.693638,4.914795,0.0,161.977,26.46,24.0,22.7,contracting,597.15,-49.9,1,41,🟠 WEAK,0,11,10,20,0,"High net margin (26.5%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (24.0%), Strong profit CAGR (22.7%)",77.27272727272727,26.136363636363637,30.0
MANKIND,Mankind Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2435.6,49.31363,6.1684966,0.0,38.111,13.86,17.7,14.3,stable,1642.73,-32.6,2,41,🟠 WEAK,0,8,8,20,0,"Healthy net margin (13.9%), Manageable debt level, Strong revenue CAGR (17.7%), Consistent YoY growth",56.52173913043478,26.08695652173913,15.0
